scp1, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.0013927576601671099, observed = 1, deviation = 0.13, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp27, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.4983091100553648, observed = 0.04929338103396819, deviation = 0.006408139534415864, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp28, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.5364450662343595, observed = 0.04491429858943374, deviation = 0.005838858816626387, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp29, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.5742382273016329, observed = 0.04727226605956769, deviation = 0.0061453945877438, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp30, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.6024331252407097, observed = 0.03273146666040794, deviation = 0.004255090665853032, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp31, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.644425526426569, observed = 0.025526566057220812, deviation = 0.0033184535874387056, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp32, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.6791335314883505, observed = 0.017292393939292383, deviation = 0.00224801121210801, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp33, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.716412499888042, observed = 0.007841810031215646, deviation = 0.001019435304058034, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp34, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.7524059866187786, observed = 0.007186819067289463, deviation = 0.0009342864787476302, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp35, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.7943983878046378, observed = 0.009806782922993973, deviation = 0.0012748817799892165, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp36, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.829791983089862, observed = 0.01426072147769153, deviation = 0.0018538937920998988, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp37, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.8663853612661109, observed = 0.0045668552115849526, deviation = 0.0005936911775060439, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp38, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.9023788479968472, observed = -0.002638045391602395, deviation = -0.0003429459009083114, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp39, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.9413717919551451, observed = 0.007186819067289463, deviation = 0.0009342864787476302, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp40, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 0.9793649168375894, observed = -0.005913000211232866, deviation = -0.0007686900274602726, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp41, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.0133587654166183, observed = 0.0040428624404440505, deviation = 0.0005255721172577266, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp42, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.0656350199541165, observed = 0.00044976915262084916, deviation = 5.846998984071039e-05, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp43, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.1033424822434594, observed = -0.004603018283380722, deviation = -0.0005983923768394939, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp44, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.1303375972915117, observed = -0.002638045391602395, deviation = -0.0003429459009083114, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp45, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.1783289129324936, observed = 0.005876837139437319, deviation = 0.0007639888281268514, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp46, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.2293196858010371, observed = -0.0018520562348909309, deviation = -0.000240767310535821, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp47, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.2581144751856264, observed = -0.02032280141760734, deviation = -0.002641964184288954, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp48, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.2893088303522648, observed = -0.003817029126669258, deviation = -0.0004962137864670035, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp49, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.3402996032208083, observed = -0.002638045391602395, deviation = -0.0003429459009083114, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp50, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.3882909188617902, observed = -0.021796531086441195, deviation = -0.0028335490412373554, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp51, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.4422811489578948, observed = 0.0032568732837328085, deviation = 0.0004233935268852651, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
scp52, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1610, P = 2.2, time = 1.477674744243119, observed = 0.0032568732837328085, deviation = 0.0004233935268852651, DataSet = D5, weight = 52  #2013_Methanol_1__1610_2o2.txt
