scp109, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.06253082427966211, observed = 0.9529937709766, deviation = 0.123889190226958, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp137, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.034354966009548, observed = 0.28654046518177756, deviation = 0.037250260473631086, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp138, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.0688487241265037, observed = 0.2768793484638674, deviation = 0.03599431530030277, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp139, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.1041994700227629, observed = 0.26690009327776454, deviation = 0.03469701212610939, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp140, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.1423354262017575, observed = 0.2578300279296828, deviation = 0.03351790363085876, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp141, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.17732909385664, observed = 0.2556467247165959, deviation = 0.033234074213157466, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp142, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.2038242993667656, observed = 0.23414118806768847, deviation = 0.030438354448799502, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp143, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.2143223996632302, observed = 0.2587033492149178, deviation = 0.033631435397939315, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp144, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.2518156150077475, observed = 0.22510231276550807, deviation = 0.029263300659516052, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp145, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.2863093731247033, observed = 0.21881439951181725, deviation = 0.028445871936536242, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp146, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.3227313537450915, observed = 0.2073894856981917, deviation = 0.026960633140764922, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp147, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.3582963465861764, observed = 0.19385924378623232, deviation = 0.025201701692210202, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp148, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.396432302765171, observed = 0.18964858758956438, deviation = 0.02465431638664337, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp149, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.4296834286021372, observed = 0.19150127631609815, deviation = 0.02489516592109276, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp150, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.4242844055925268, observed = 0.1722445419766705, deviation = 0.022391790456967164, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp151, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.466276806778386, observed = 0.17093456004881835, deviation = 0.022221492806346388, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp152, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 1.4902724645988767, observed = 0.16634962330133551, deviation = 0.02162545102917362, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp153, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.6183844011142062, observed = 0.4999999999999998, deviation = 0.06499999999999997, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp154, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.5682451253481895, observed = 0.5291970802919708, deviation = 0.0687956204379562, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp155, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.5181058495821728, observed = 0.5620437956204378, deviation = 0.07306569343065691, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp156, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.4763231197771588, observed = 0.5784671532846716, deviation = 0.07520072992700731, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
scp157, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1458, P = 2.3, time = 0.66991643454039, observed = 0.4562043795620436, deviation = 0.059306569343065677, DataSet = D3, weight = 49  #2013_Methanol_1__1458_2o3.txt
