scp158, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.020538423093802827, observed = 1.0073580209824677, deviation = 0.1309565427277208, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp182, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.8483886179007426, observed = 0.7171970239631985, deviation = 0.0932356131152158, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp183, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.8813826474039176, observed = 0.7072084117633253, deviation = 0.0919370935292323, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp184, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.9203755913622155, observed = 0.689097911610768, deviation = 0.08958272850939986, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp185, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.9550835964239971, observed = 0.6848217563177076, deviation = 0.08902682832130199, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp186, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.9923625648236886, observed = 0.6700376745605182, deviation = 0.08710489769286738, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp187, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.0283560515544252, observed = 0.660049062360645, deviation = 0.08580637810688385, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp188, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.0643495382851618, observed = 0.662832773957331, deviation = 0.08616826061445303, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp189, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.0879167022160008, observed = 0.6320481986528035, deviation = 0.08216626582486446, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp190, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.1093413966985821, observed = 0.6526804140164761, deviation = 0.0848484538221419, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp191, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.1399358604197083, observed = 0.6292972366043139, deviation = 0.08180864075856081, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp192, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.1783289129324936, observed = 0.6431830450395475, deviation = 0.08361379585514117, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp193, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.2017246793074725, observed = 0.6037525890111953, deviation = 0.0784878365714554, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp194, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.2143223996632302, observed = 0.6310657122069143, deviation = 0.08203854258689887, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp195, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.2503158863939667, observed = 0.6209133522660595, deviation = 0.08071873579458773, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp196, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.2863093731247033, observed = 0.6222233341939117, deviation = 0.08088903344520852, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp197, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.3223028598554398, observed = 0.6156734245546507, deviation = 0.0800375451921046, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp198, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.3582963465861764, observed = 0.5875088131058276, deviation = 0.07637614570375759, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp199, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.394289833316913, observed = 0.5940587227450889, deviation = 0.07722763395686155, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp200, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.4302833200476495, observed = 0.5888187950336798, deviation = 0.07654644335437838, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp201, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.4656769153328737, observed = 0.5730990118994531, deviation = 0.0745028715469289, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp202, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.4902724645988767, observed = 0.5514843100898913, deviation = 0.07169296031168587, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp203, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.5793871866295264, observed = 0.8248175182481752, deviation = 0.10722627737226277, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp204, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 0.7632311977715879, observed = 0.7700729927007298, deviation = 0.10010948905109487, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp205, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.1587743732590532, observed = 0.656934306569343, deviation = 0.0854014598540146, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
scp206, target = Scp, simulation = isochor,species = CH3OH, Fuel = 1, Tend = 0.0015, AR = 99, O2 = 0.0, N2 = 0.0, Phi = 1, T = 1368, P = 2.4, time = 1.306406685236769, observed = 0.6277372262773722, deviation = 0.08160583941605838, DataSet = D2, weight = 49  #2013_Methanol_1__1368_2o4.txt
