C3H8                          2   303.400     4.810     0.000     0.000     1.000 !  
IC3H7                         2   303.400     4.810     0.000     0.000     1.000 !  
NC3H7                         2   303.400     4.810     0.000     0.000     1.000 !  
NC3H7O2                       2   481.500     4.997     1.700     0.000     1.000 !  
IC3H7O2                       2   459.500     5.036     1.700     0.000     1.000 !  
NC3H7O                        2   481.500     4.997     1.700     0.000     1.000 !  
IC3H7O                        2   459.500     5.036     1.700     0.000     1.000 !  
C3H6                          2   307.800     4.140     0.000     0.000     1.000 !  
C3H5 -A                        2   316.000     4.220     0.000     0.000     1.000 !  
C3H5 -S                        2   316.000     4.220     0.000     0.000     1.000 !  
C3H5 -T                        2   316.000     4.220     0.000     0.000     1.000 !  
C3H5O                         2   411.000     4.820     0.000     0.000     1.000 !  
AC3H5OOH                      2   481.500     4.997     1.700     0.000     1.000 !  
C3H4 -P                        1   324.800     4.290     0.000     0.000     1.000 !  
C3H4 -A                        1   324.800     4.290     0.000     0.000     1.000 !      
C2H3CHO                       2   428.800     4.958     2.900     0.000     1.000 !  
C2H3CO                        2   443.200     4.120     0.000     0.000     1.000 !  
CH3COCH2                      2   435.500     4.860     0.000     0.000     1.000 !  
C4H72 -1OOH                    2   496.000     5.200     0.000     0.000     1.000 !  
C4H 71-3OOH                    2   496.000     5.200     0.000     0.000     1.000 !  
C4H5OH -13                     2   436.400     5.352     0.000     0.000     1.000 !  
C4H5 -N                        2   357.000     5.180     0.000     0.000     1.000 !  
C4H3 -N                        2   357.000     5.180     0.000     0.000     1.000 !  
C4H2                          1   357.000     4.720     0.000     0.000     1.000 !  
CH2CHCHCHO                    1   357.000     5.180     0.000     0.000     1.000 !  
H2C4O                         2   357.000     5.180     0.000     0.000     1.000 !  
C3H6CHO -3                     2   464.200     5.009     2.600     0.000     1.000 !  
C-C6H4                        2   464.800     5.290     0.000    10.320     0.000 !  
C6H6                          2   468.500     5.230     0.000    10.300     1.000 !  
C6H5                          2   412.300     5.349     0.000     0.000     1.000 !  
C6H5OH                        2   450.000     5.500     0.000     0.000     1.000 !  
C6H5O                         2   450.000     5.500     0.000     0.000     1.000 !  
C5H5                          1   408.000     5.200     0.000     0.000     1.000 !    
HOCHO                         2   436.000     3.970     0.000     0.000     2.000 !  
C3H6OOH1 -2                    2   435.200     4.662     2.700     0.000     1.000 !  
C3H6O1 -2                      2   403.600     4.968     2.000     0.000     1.000 !  
CH3CHCHO                      2   387.860     4.687     0.000     0.000     0.000 !  
CH3CHCO                       2   443.200     4.120     0.000     0.000     1.000 !  
C3H2                          2   209.000     4.100     0.000     0.000     1.000 !  
C3H2(S)                       2   209.000     4.100     0.000     0.000     1.000 !  
SC3H4OH                       2   298.893     5.345     0.000     0.000     1.000 !  
IC4H9                         2   352.000     5.240     0.000     0.000     1.000 !  
TC4H9                         2   352.000     5.240     0.000     0.000     1.000 !  
IC3H5CO                       2   436.400     5.352     0.000     0.000     1.000 !  
IC4H9O2                       2   502.252     5.430     0.000     0.000     0.000 !  
TC4H9O2                       2   502.252     5.430     0.000     0.000     0.000 !  
IC4H 8O2H -I                    2   502.200     5.356     1.800     0.000     1.000 !  
IC4H8O2H -T                    2   502.200     5.356     1.800     0.000     1.000 !  
IC4H7O                        2   496.000     5.200     0.000     0.000     1.000 !  
IC4H8                         2   344.500     5.089     0.500     0.000     1.000 !  
IC4H7                         2   355.000     4.650     0.000     0.000     1.000 !  
IC4H7 -I1                      2   380.022     4.633     0.000     0.000     0.000 !  
C4H8 -1                        2   355.000     4.650     0.000     0.000     1.000 !  
C4H71 -1                       2   357.100     4.720     0.000     0.000     1.000 !  
C4H71 -3                       2   357.100     4.720     0.000     0.000     1.000 !  
C4H71 -1O2                     2   436.400     5.352     0.000     0.000     1.000 !  
C4H6                          2   357.000     4.720     0.000     0.000     1.000 !  
C6H101 -5                      2   337.788     5.608     0.000     0.000     1.000 !  
C6H9 -A                        2   346.876     5.564     0.000     0.000     1.000 !  
C8H18 -25  2 578.34  6.21 0 15.9 1 !CALC  
C8H17   2 578.34  6.21 0 15.9 1 !SAME AS C8H18 -25 
C3H3               0   311.261     4.136     0.000     0.000     0.000  
PC4H9             0   388.026     4.689     0.000     0.000     0.000  
C8H17 -OO           0   666.695     6.379     0.000     0.000     0.000  
C8-QOOH           0   666.695     6.379     0.000     0.000     0.000  
C8-OOQOOH           0   748.325     6.813     0.000     0.000     0.000  
C8-KET           0   705.790     6.590     0.000     0.000     0.000  
C3H3O                2.000      301.263    5.055      0.000      0.000      1.000      !!  
NC12H26         2   789.160     7.060     0.000    22.750     1.000  
C12H25          2   789.160     7.0 60     0.000    22.750     1.000  
C12H25 -OO       2   789.160     7.060     0.000    22.750     1.000  
C12-QOOH        2   789.160     7.060     0.000    22.750     1.000  
C12-OOQOOH      2   789.160     7.060     0.000    22.750     1.000  
C12-KET         2   789.160     7.060     0.000    22.750     1.000  
C12H24          2   787.050     6.930     0.000    22.520     1.000  
C12H23          2   787.050     6.930     0.000    22.520     1.000  
C6H13CO            2   581.3       6.506     2.0       0.0       1.0                                                                           
C8H9          2   439.519     5.851     0.000     0.000     1.000  
 C8H9O         2   472.173     6.102     0.000     0.000     1.000  
 C8H9OO         2   502.757     6.331     0.000    14.750     1.000  
 C9H12          2   547.900     6.335     0.100    15.630     1.000  
C8H9CH2       2   547.900     6.335     0.100    15.630     1.000  
 C8H9CH2O      2   499.085     6.304     0.000     0.000     1.000  
 C8H9CHO       2   497.198     6.290     0.000     0.000     1.000  
 C8H9CO        2   495.305     6.276     0.000     0.000     1.000  
 C7H9       2   413.357     5.644     0.000    12.100     1.000  
C7H9O       2   447.877     5.916     0.000    12.670     1.000  
 C6H9       2    385.468     5.417     0.000    10.590     1.000  
 C8H10           2   441.646     5.867     0.000     0.000     1.000  
C7H8O       2   447.877     5.916     0.000    12.670     1.000  
Decalin 2 630.4 6.18 0.0 16.5 1.0  
RDecalin 2 630.4 6.18 0.0 16.5 1.0  
RDec-OO 2 630.4 6.18 0.0 16.5 1.0  
Dec-QOOH 2 630.4 6.18 0.0 16.5 1.0  
Dec-OOQOOH 2 630.4 6.18 0.0 16.5 1.0  
Dec-KET 2 630.4 6.18 0.0 16.5 1.0  
CYC6H10 2 387.884 5.437 0.0 10.76 1.0  
CYC6H9 -3 2 464.8 5.29 0.0 0.0 1.0  
C4H7 2 357.0 5.176 0.0 0.0 1.0  
DCYC10H16 2 630. 4 6.18 0.0 16.5 1.0  
DCLD1 -3R 2 630.4 6.18 0.0 16.5 1.0  
C8H12 2 630.4 6.18 0.0 16.5 1.0  
X135C6H7 -3R 2 630.4 6.18 0.0 16.5 1.0  
LC5H7 1 357.0 5.18 0.0 0.0 1.0  
CYC5H5 2 408.0 5.2 0.0 0.0 1.0  
CYC5H6 2 408.0 5.2 0.0 0.0 1.0  
CYC6H8 -13 2 504.629 5.628 0.0 0.0 1.0  
C6H9 -13-6 2 504.629 5.628 0.0 0.0 1.0  
CH2(S)             1   144.000     3.800     0.000     0.000     0.000  
CHV                  1.000      80.000     2.750      0.000      0.000      0.000  
HCOH  2 267.2436266  3.79218336  0 4.56 1 
HOCH2O                        2   470.600     4.410     0.000     0.000     1.500  
OCHO                          2   498.000     3.590     0.000     0.000     2.000  
CHCHO                         2   436.000     3.970     0.000     0.000     2.000  
PC2H4OH                       2   47 0.600     4.410     0.000     0.000     1.500  
O2C2H4OH                      2   523.200     5.664     1.700     0.000     1.000  
C5H4O                         2   450.000     5.50 0     0.000     0.000     1.000  
N                  0    71.400     3.298     0.000     0.000     0.000 ! *  
N2H2               2    71.400     3.798     0.000     0.000     1.000 ! *  
N2H3               2   200.000     3.900     0.000     0.000     1.000 ! *  
N2H4               2   205.000     4.230     0.000     4.260     1.500  
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *  
NCN                1   232.400     3.828     0.000     0.000     1.000 ! OIS  
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS  
NH                 1    80.000     2.650     0.000     0.000     4.000  
NH2                2    80.000     2.650     0.000     2.260     4.000  
NH3                2   481.000     2.920     1.470     0.000    10.000  
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *  
NO                 1    97.530     3.621     0.000     1.760     4.000  
NCNO               2   232.400     3.828     0.000     0.000     1.000 ! OIS  
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *  
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM  
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM  
HNCO               2   232.400     3.828     0.000     0.000      1.000 ! OIS  
HNNO               2   232.400     3.828     0.000     0.000     1.000 ! *  
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *  
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM  
HCN                1   569.000     3.630     0.000     0.000     1.000  
 
