#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
A1CO               2   495.3       5.68      0.43     12.30      1.000
A1CH2O             2   495.3       5.68      0.43     12.30      1.000
A1CH2OH            2   495.3       5.68      0.43     12.30      1.000
HOA1CH3            2   495.3       5.68      0.43     12.30      1.000
OA1CH3             2   495.3       5.68      0.43     12.30      1.000

!C6H2               2   495.3       5.68      0.43     12.30      1.000
C8H2               2   495.3       5.68      0.43     12.30      1.000

! Phenyl-acetylene
A1C2H              2   535.6       5.72      0.77     12.00      1.000
A1C2HY             2   535.6       5.72      0.77     12.00      1.000
A1C2HX             2   535.6       5.72      0.77     12.00      1.000

! Styrene
A1C2H5             2   546.2       6.00      0.13     15.00      1.000
A1C2H4             2   546.2       6.00      0.13     15.00      1.000
A1C2H3             2   546.2       6.00      0.13     15.00      1.000
A1C2H3Y            2   546.2       6.00      0.13     15.00      1.000
A1C2H2             2   546.2       6.00      0.13     15.00      1.000
C8H9O2             2   546.2       6.00      0.13     15.00      1.000
C8H8OOH            2   546.2       6.00      0.13     15.00      1.000
OC8H7OOH           2   546.2       6.00      0.13     15.00      1.000

A1CH3CH3           2   546.2       6.00      0.13     15.00      1.000
A1CH3CH2           2   546.2       6.00      0.13     15.00      1.000
A1CH3CHO           2   546.2       6.00      0.13     15.00      1.000
A1CHOCH2           2   546.2       6.00      0.13     15.00      1.000
A1CHOCHO           2   546.2       6.00      0.13     15.00      1.000

! Napthalene
A2XC10H8           2   630.4       6.18      0.00     16.50      1.000
C9H8               2   630.4       6.18      0.00     16.50      1.000
C9H7               2   630.4       6.18      0.00     16.50      1.000
C9H6O              2   630.4       6.18      0.00     16.50      1.000
A2OXC10H7O         2   630.4       6.18      0.00     16.50      1.000
A2OH               2   630.4       6.18      0.00     16.50      1.000
A2XXC10H7          2   630.4       6.18      0.00     16.50      1.000
A2YXC10H7          2   630.4       6.18      0.00     16.50      1.000
           
! Acenaphthylene
A2CH2              2   693.1       6.47      0.00     18.00      1.000
A2CH3              2   693.1       6.47      0.00     18.00      1.000
A2CH2O             2   693.1       6.47      0.00     18.00      1.000
A2CHO              2   693.1       6.47      0.00     18.00      1.000
A2R5               2   693.1       6.47      0.00     18.00      1.000
A2R5X              2   693.1       6.47      0.00     18.00      1.000
A2C2HA             2   693.1       6.47      0.00     18.00      1.000
A2C2HB             2   693.1       6.47      0.00     18.00      1.000
A2C2HAY            2   693.1       6.47      0.00     18.00      1.000
A2C2HBY            2   693.1       6.47      0.00     18.00      1.000
A2C2H2A            2   693.1       6.47      0.00     18.00      1.000
A2C2H2B            2   693.1       6.47      0.00     18.00      1.000
A2R5C2HY           2   772.8       6.94      0.00     18.00      1.000
A2R5C2H            2   772.8       6.94      0.00     18.00      1.000

! Phenanthrene
A3XC14H10          2   772.0       6.96      0.00     38.80      1.000
A3XXC14H9          2   772.0       6.96      0.00     38.80      1.000
A3YXC14H9          2   772.0       6.96      0.00     38.80      1.000
A2R5C2H2           2   772.0       6.96      0.00     38.80      1.000

! Acephenanthrylene
A3R5               2   837.5       7.28      0.00      0.00      0.000
A3R5X              2   837.5       7.28      0.00      0.00      0.000

! Pyrene
A4XC16H10          2   834.9       7.24      0.00     45.00      1.000
A4XXC16H9          2   834.9       7.24      0.00     45.00      1.000
A4R5               2   834.9       7.24      0.00     45.00      1.000
FLTN               2   834.9       7.24      0.00     45.00      1.000

! Biphenyl
P2XC12H10          2   676.5       6.31      0.00     20.00      1.000
P2XXC12H9          2   676.5       6.31      0.00     20.00      1.000
B2                 2   676.5       6.31      0.00     20.00      1.000


CH3O2              2   481.800     3.626     0.000     0.000     1.000
C2H5O              2   470.600     4.410     0.000     0.000     1.500
C2H3CHO            2   428.800     4.958     2.900     0.000     1.000
C3H5O              2   411.000     4.820     0.000     0.000     1.000

OCHO               2   498.000     3.590     0.000     0.000     2.000 ! wjp
HOCHO              2   436.000     3.970     0.000     0.000     2.000 ! wjp
HOCH2O             2   470.600     4.410     0.000     0.000     1.500 ! wjp
O2CHO              2   436.000     3.970     0.000     0.000     2.000 ! wjp
HO2CHO             2   436.000     3.970     0.000     0.000     2.000 ! wjp
CH3CO              2   436.000     3.970     0.000     0.000     2.000
CH3CO2             2   436.000     3.970     0.000     0.000     2.000 ! wjp
CH3CO3             2   436.000     3.970     0.000     0.000     2.000 ! wjp
CH3CO3H            2   436.000     3.970     0.000     0.000     2.000 ! wjp



CH3O2H             2   481.800     3.626     0.000     0.000     1.000 ! wjp
C2H4O2H            2   470.600     4.410     0.000     0.000     1.500
!C2H3O1X2           0   329.328     4.271     0.000     0.000     0.000
C2H3O1X2           2   436.000     3.970     0.000     0.000     2.000 ! wjp same as ch2co
C2H5OH             2   470.600     4.410     0.000     0.000     1.500 ! NMM
CH3CHOH            2   470.600     4.410     0.000     0.000     1.500
C2H4OH             2   470.600     4.410     0.000     0.000     1.500
C2H5O2             2   470.600     4.410     0.000     0.000     1.500 ! WJP    
!O2C2H4OH           2   523.2       5.664     1.7       0.0       1.0   ! WJP
!HOC2H4O2           0   443.200     4.120     0.000     0.000     0.000
HOC2H4O2           2   523.2       5.664     1.7       0.0       1.0   ! WJP
CH3CHCO            2   443.200     4.120     0.000     0.000     1.000 ! NMM
!CH3CHCO            0   383.872     4.660     0.000     0.000     0.000

IXC3H7             2   303.400     4.810     0.000     0.000     1.000 ! NMM
NXC3H7O            2   481.5   4.997   1.7 0.0 1.0 !   WJP
C2H3CO             2   443.200     4.120     0.000     0.000     1.000 ! NMM
C2H5CO             2   424.600     4.820     0.000     0.000     1.000 ! NMM
CH2CCH2OH          2   481.5   4.997   1.7 0.0 1.0 !   WJP
CH3CHCHO           2   387.860     4.687     0.000     0.000     0.000 !FlameMaster
CH3COCH2           2   435.500     4.860     0.000     0.000     1.000 ! NMM
C2H5CHO            2   435.2   4.662   2.7 0.0 1.0 !   WJP, PROPANAL
CH3COCH3           2   435.500     4.860     0.000     0.000     1.000 ! NMM
CH3COCH2O          2   447.639     5.086     0.000     0.000     0.000 ! FlameMaster
C3H6OOH1X2         2   435.2   4.662   2.7 0.0 1.0 !   WJP
C3H6OOH2X1         2   435.2   4.662   2.7 0.0 1.0 !   WJP
C3H6OOH1-2O2       2   435.2   4.662   2.7 0.0 1.0 !   WJP
C3H6OOH1-3O2       2   435.2   4.662   2.7 0.0 1.0 !   WJP
C3H6OOH2-1O2       2   435.2   4.662   2.7 0.0 1.0 !   WJP
NXC3H7O2           2   481.5   4.997   1.7 0.0 1.0 !   WJP
IXC3H7O2           2   459.5   5.036   1.7 0.0 1.0 !   WJP
CH3COCH2O2         2   502.115     5.429     0.000     0.000     0.000    !FLAMEMASTER
CH3COCH2O2H        2   505.403     5.449     0.000     0.000     0.000    !FLAMEMASTER
C4H7               2   355.000     4.650     0.000     0.000     1.000 ! NMM
C4H7O              2   496.000     5.200     0.000     0.000     1.000 ! NMM
C4H8X1             2  345.7        5.088     0.3       0.0  1.0  !  WJP: C4H8-1, TCPC, POLING 4TH ED.
SXC4H9             2   352.000     5.240     0.000     0.000     1.000 ! NMM
NXC3H7CHO          2   464.2   5.009   2.6 0.0 1.0 !   WJP: BUTANAL, TCPC
NXC3H7CO           2   464.2   5.009   2.6 0.0 1.0 !   WJP
PXC4H9             2   352.000     5.240     0.000     0.000     1.000 ! NMM
PXC4H9O            2   496.000     5.200     0.000     0.000     1.000 ! NMM
IXC4H8             2   344.5  5.089  0.5  0.0  1.0  !  WJP:  IC4H8, TCPC, POLING 4TH ED.
IXC4H7             2   355.000     4.650     0.000     0.000     1.000 ! NMM
IXC4H7OH           2   502.2   5.356   1.8 0.0 1.0 !   WJP
IXC3H5CHO             2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC3H6CO              2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC4H9                2   352.000     5.240     0.000     0.000     1.000 ! NMM
TXC4H9                2   352.000     5.240     0.000     0.000     1.000 ! NMM
TXC4H9O               2   496.000     5.200     0.000     0.000     1.000 ! NMM
IXC3H5CO              2   436.4   5.352   0.0 0.0 1.0 !   WJP
C2H5COCH2             2   454.0   5.413   3.3 0.0 1.0 !   WJP
CH2CH2COCH3           2   440.584     5.040     0.000     0.000     0.000    !FLAMEMASTER
IXC3H7CO              2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC4H6OH              2   502.2   5.356   1.8 0.0 1.0 !   WJP
TXC3H6CHO             2   436.4   5.352   0.0 0.0 1.0 !   WJP
IXC4H7OOH             2   498.949     5.410     0.000     0.000     0.000    !FLAMEMASTER
IXC4H7O               2   496.000     5.200     0.000     0.000     1.000 ! NMM
IXC3H7CHO             2   436.4   5.352   0.0 0.0 1.0 !   TCPC
C4H8OOH1X3            2   496.000     5.200     0.000     0.000     1.000 ! WJP
IXC4H9O2              2   502.252     5.430     0.000     0.000     0.000    !FLAMEMASTER
IC4H8O2HXI            2   502.2       5.356   1.8 0.0 1.0 !   WJP BASED ON NC4H9OH (N-BUTANOL)
IC4H8O2HXT            2   502.2       5.356   1.8 0.0 1.0 !   WJP BASED ON NC4H9OH (N-BUTANOL)
CXC4H8O               2   444.197     5.063     0.000     0.000     0.000    !FLAMEMASTER
PXC4H9O2              2   496.000     5.200     0.000     0.000     1.000 ! WJP
TXC4H9O2              2   502.252     5.430     0.000     0.000     0.000    !FLAMEMASTER
TXC4H9O2H             2   505.540     5.450     0.000     0.000     0.000    !FLAMEMASTER
TC4H8O2HXI            2   502.2       5.356   1.8 0.0 1.0 !   WJP BASED ON NC4H9OH (N-BUTANOL)
TXC3H6O2CHO           2   436.4   5.352   0.0 0.0 1.0 !   WJP
TXC3H6O2HCO           2   436.4   5.352   0.0 0.0 1.0 !   WJP
IC4KETII              2   549.655     5.716     0.000     0.000     0.000    !FLAMEMASTER
NC4KET13              2   476.0   5.778   2.6 0.0 1.0 !  WJP
C4H8OOH1X3O2          2   496.000     5.200     0.000     0.000     1.000 ! WJP
IC4H8OOHXIO2          2   600.078     6.009     0.000     0.000     0.000    !FLAMEMASTER
NEOXC5H11             2   357.8   5.550   0.0 0.0 1.0 !  WJP, NEOC5H12
NEOXC5H11O            2   523.2   5.664   1.7 0.0 1.0 !   WJP, 1C5H11OH
NXC3H7COCH2           2   489.084     5.348     0.000     0.000     0.000    !FLAMEMASTER
NEOC5KETOX            2   540.467     5.661     0.000     0.000     0.000    !FLAMEMASTER
NEOXC5H10OOH          2   357.8   5.550   0.0 0.0 1.0 !   WJP, NEO-PENTANE (NEOC5H12)
NEOXC5H11O2           2   357.8   5.550   0.0 0.0 1.0 !   WJP, NEO-PENTANE (NEOC5H12)
NEOC5KET              2   591.463     5.959     0.000     0.000     0.000    !FLAMEMASTER
NEOC5H10OOHXO2        2   357.8   5.550   0.0 0.0 1.0 !   WJP, NEO-PENTANE (NEOC5H12)
NEOC5H9Q2XN           2   639.455     6.230     0.000     0.000     0.000    !FLAMEMASTER
IXC6H11               2   430.1   5.833   0.0 0.0 1.0 !   IC6H12 WJP
CC6H11OXB             2   541.5   5.674   1.8 0.0 1.0 !   WJP, 1C6H13OH
AXC5H10               2   386.6   5.532   0.5 0.0 1.0 !   WJP
C6H13X1               2   489.224     5.349     0.000     0.000     0.000    !FLAMEMASTER
C6H12X1               2   485.857     5.328     0.000     0.000     0.000    !FLAMEMASTER
C6H11                 2   482.473     5.307     0.000     0.000     0.000    !FLAMEMASTER
C5H11X1               2   523.2   5.664   1.7 0.0 1.0 !   WJP
C5H10X1               2   386.2   5.489   0.4 0.0 1.0 !   WJP, 1C5H10, TCPC
C5H9                  2   396.8   5.458   0.0 0.0 1.0 !   WJP
C5H11OX1              2   523.2   5.664   1.7 0.0 1.0 !   WJP
C5H11O2X1             2   523.2   5.664   1.7 0.0 1.0 !   WJP





NXC7H16            2   459.600     6.253     0.000     0.000     1.000  !   TCPC
C7H15X1            2   459.600     6.253     0.000     0.000     1.000
C7H15X2            2   459.600     6.253     0.000     0.000     1.000
C7H15X3            2   459.600     6.253     0.000     0.000     1.000
C7H15X4            2   459.600     6.253     0.000     0.000     1.000
C7H14X2            2   457.800     6.173     0.300     0.000     1.000 !   TCPC
C7H14X3            2   457.800     6.173     0.300     0.000     1.000
C7H13              2   457.800     6.173     0.300     0.000     1.000
C7H15O2X1          2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15O2X2          2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15O2X3          2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15O2X4          2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15OX2           2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15OX3           2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15OX1           2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15OX4           2   561.0   6.317   1.7 0.0 1.0 !   WJP0
C7H14OOH1X4        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH2X5        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH3X6        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH1X3        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH2X4        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH3X5        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH4X2        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH2X3        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14O1X3          2   511.5   6.297   0.0 0.0 1.0 !   C8H16-1-5 WJP
C7H14O2X4          2   511.5   6.297   0.0 0.0 1.0 !   C8H16-1-5 WJP
C7H14O3X5          2   511.5   6.297   0.0 0.0 1.0 !   C8H16-1-5 WJP
C7H14O1X4          2   511.5   6.297   0.0 0.0 1.0 !   C8H16-1-5 WJP
C7H14O2X5          2   511.5   6.297   0.0 0.0 1.0 !   C8H16-1-5 WJP
C7H14OOH1X3O2      2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
C7H14OOH2X4O2      2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
C7H14OOH2X5O2      2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
C7H14OOH3X5O2      2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
C7H14OOH3X6O2      2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
C7H14OOH4X2O2      2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
NC7KET13           2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
NC7KET24           2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
NC7KET35           2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
NC7KET42           2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
NC7KET25           2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
NC7KET36           2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
NXC4H9CHO          2   476.0   5.778   2.6 0.0 1.0 !   WJP:  PENTANAL, TCPC, POLING 4TH EDITION

!iso-octane
YXC7H15            2   437.3   6.168   0.0 0.0 1.0 !   WJP
IXC8H18            2   458.500     6.414     0.000     0.000     1.000 !   WJP
AXC8H17            2   458.500     6.414     0.000     0.000     1.000
BXC8H17            2   458.500     6.414     0.000     0.000     1.000
CXC8H17            2   458.500     6.414     0.000     0.000     1.000
DXC8H17            2   458.500     6.414     0.000     0.000     1.000
AXC8H17O2          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
AXC8H17O2H         2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BXC8H17O2          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BXC8H17O2H         2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
CXC8H17O2          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
CXC8H17O2H         2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
JXC8H16            2   485.6   6.440   0.3 0.0 1.0 !   WJP
OXC7H14            2   439.2   6.151   0.0 0.0 1.0 !   WJP
PXC7H14            2   439.2   6.151   0.0 0.0 1.0 !   WJP
XXC7H14            2   439.2   6.151   0.0 0.0 1.0 !   WJP
YXC7H14            2   439.2   6.151   0.0 0.0 1.0 !   WJP
XXC7H13            2   439.2   6.151   0.0 0.0 1.0 !   WJP
XC7H13OXZ          2   561.0   6.317   1.7 0.0 1.0 !   WJP, C7H15OH-1
DXC8H17O2          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
YXC7H15O2          2   561.0   6.317   1.7 0.0 1.0 !   WJP, C7H15OH-1
CXC8H17O           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
AXC8H17O           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BXC8H17O           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
AC8H16OOHXA        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BC8H16OOHXD        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BC8H16OOHXA        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
AC8H16OOHXB        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
DC8H16OOHXB        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
AC8H16OOHXC        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
CC8H16OOHXA        2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1

YC7H14OOHXY2       2   561.0   6.317   1.7 0.0 1.0 !   WJP, C7H15OH-1
IC8ETERAC          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
YXYXC7H14O         2   561.0   6.317   1.7 0.0 1.0 !   WJP, C7H15OH-1
IC8ETERAB          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC8ETERBD          2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1

YC7H13OOHXX1       2   561.0   6.317   1.7 0.0 1.0 !   1C7H15OH WJP
YC7H13OOHXX2       2   561.0   6.317   1.7 0.0 1.0 !   1C7H15OH WJP
TXC4H9CHO          2   476.0   5.778   2.6 0.0 1.0 !   NC4H9CHO
AC8H16OOHXBO2      2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BC8H16OOHXAO2      2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
BC8H16OOHXDO2      2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
DC8H16OOHXBO2      2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC8KETAB           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC8KETDB           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC8KETBA           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC8KETBD           2   581.3   6.506   2.0 0.0 1.0 !   WJP, C8H17OH-1
IC3H7COC3H6XT      2   561.0   6.317   1.7 0.0 1.0 !   1C7H15OH WJP
TC4H9COC2H4S       2   561.0   6.317   1.7 0.0 1.0 !   1C7H15OH WJP
YC7H13OXX1         2   561.0   6.317   1.7 0.0 1.0 !   1C7H15OH WJP
YC7H13OXX2         2   561.0   6.317   1.7 0.0 1.0 !   1C7H15OH WJP




N                  0    71.400     3.298     0.000     0.000     0.000 ! *
NO                 1    97.530     3.621     0.000     1.760     4.000
N2O                1   232.400     3.828     0.000     0.000     1.000 ! *
NO2                2   200.000     3.500     0.000     0.000     1.000 ! *
NH                 1    80.000     2.650     0.000     0.000     4.000
HNO                2   116.700     3.492     0.000     0.000     1.000 ! *
NH2                2    80.000     2.650     0.000     2.260     4.000
NNH                2    71.400     3.798     0.000     0.000     1.000 ! *
CN                 1    75.000     3.856     0.000     0.000     0.000
NCO                1   232.400     3.828     0.000     0.000     1.000 ! OIS
HCN                1   569.000     3.630     0.000     0.000     1.000 ! OIS
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
HCNN               2   150.000     2.500     0.000     0.000     1.000 ! *
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
NH3                2   481.000     2.920     1.470     0.000    10.000


         

IXCO               1    98.100     3.650     0.000     1.950     1.800   
IXCO2              1   244.000     3.763     0.000     2.650     2.100 
IXH2O              2   572.400     2.605     1.844     0.000     4.000          
IXH2               1    38.000     2.920     0.000     0.790   280.000 
IXN2               1    97.530     3.621     0.000     1.760     4.000
C7H14X1            2   457.8   6.173   0.3 0.0 1.0 !   TCPC
C7H131X3           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H131X4           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H131X5           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H131X6           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H131X7           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H132X4           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H132X5           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H132X6           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H132X7           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H133X1           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H133X5           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H133X6           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H133X7           2   457.8   6.173   0.3 0.0 1.0 !   WJP
C7H13O1X3          2   561.0   6.317   1.7 0.0 1.0 !   C7H15O-1 MM
C7H13O2X4          2	561.0	6.317	1.7 0.0 1.0 !	C7H15O-1 MM
C7H13O3X5          2   561.0   6.317   1.7 0.0 1.0 !   C7H15O-1 MM
C7H14OOH1X2        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH3X2        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH3X4        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH4X3        2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14OOH4X1        2   561.0   6.317   1.7 0.0 1.0 !   WJP
